연도,결핵환자_수,결핵환자_율,신환자_수,신환자_율,재치료자_수,재치료자_비율,결핵환자_증감률,신환자_증감률,결핵환자_5년평균,신환자_5년평균
2001,46082,96.3,34123,71.3,11959,25.951564602230803,,,,
2002,43040,89.4,32010,66.5,11030,25.62732342007435,-6.601275986285316,-6.192304310875363,,
2003,40500,83.8,30687,63.5,9813,24.229629629629628,-5.901486988847582,-4.133083411433924,43665.2,32718.4
2004,41735,86.1,31503,65.0,10232,24.51659278782796,3.049382716049376,2.6591064620197447,43705.6,32966.0
2005,46969,96.5,35269,72.4,11700,24.9100470523111,12.541032706361577,11.954417039647014,44217.0,33506.0
2006,46284,94.7,35361,72.3,10923,23.599948146227636,-1.4584087376780408,0.26085230655816805,44951.8,34200.0
2007,45597,92.8,34710,70.6,10887,23.876570827028093,-1.4843142338605175,-1.841011283617544,46065.2,35068.4
2008,44174,89.4,34157,69.1,10017,22.6762348893014,-3.1208193521503613,-1.5932008066839476,46291.6,35275.6
2009,47302,95.3,35845,72.2,11457,24.22096317280453,7.0810884230542825,4.941885997013795,47133.0,36114.8
2010,48101,96.4,36305,72.8,11796,24.523398681940083,1.6891463363071235,1.2833031106151527,47920.0,37081.8
2011,50491,100.8,39557,78.9,10934,21.655344516844586,4.968711669196058,8.95744387825368,48143.6,37468.2
2012,49532,98.4,39545,78.5,9987,20.16272308810466,-1.8993483987245208,-0.030335970877470864,47300.8,37273.0
2013,45292,89.6,36089,71.4,9203,20.319261679766846,-8.560122748929988,-8.739410797825265,45850.0,36448.2
2014,43088,84.9,34869,68.7,8219,19.074916450055703,-4.866201536695225,-3.3805314638809647,43600.8,34715.2
2015,40847,80.2,32181,63.2,8666,21.21575635909614,-5.200984032677313,-7.7088531360233965,40903.2,32438.4
2016,39245,76.8,30892,60.4,8353,21.28424003057714,-3.921952652581584,-4.005469065597711,38604.0,30507.2
2017,36044,70.4,28161,55.0,7883,21.870491621351682,-8.156453051344126,-8.840476498769911,36047.2,28297.6
2018,33796,65.9,26433,51.5,7363,21.786601964729556,-6.236821662412606,-6.1361457334611735,32947.8,25848.0
2019,30304,59.0,23821,46.4,6483,21.393215417106653,-10.332583737720435,-9.881587409677294,29679.6,23336.6
2020,25350,49.4,19933,38.8,5417,21.368836291913215,-16.347676874340024,-16.32173292473028,26547.4,20957.2
2021,22904,44.6,18335,35.7,4569,19.948480614739783,-9.648915187376728,-8.01685646917173,23696.2,18798.6
2022,20383,39.8,16264,31.7,4119,20.20801648432517,-11.006811037373387,-11.29533678756477,21224.2,16916.8
2023,19540,38.2,15640,30.6,3900,19.959058341862846,-4.135799440710397,-3.8366945400885366,,
2024,17944,35.2,14412,28.2,3532,19.683459652251447,-8.167860798362337,-7.851662404092075,,
