연도,결핵환자_수,신환자_수,재치료자_수,재치료자_재발,재치료자_실패후,재치료자_중단후,재치료자_불명확결과,재치료자_불명확이력,재치료자_기타
2001,46082,34123,11679,6742,500,914,,,280
2002,43040,32010,10797,6270,429,772,,,233
2003,40500,30687,9647,5693,359,713,,,166
2004,41735,31503,9914,5691,405,803,,,318
2005,46969,35269,9012,5891,363,711,,,2688
2006,46284,35361,8535,5558,281,773,,,2388
2007,45597,34710,8299,5403,314,784,,,2588
2008,44174,34157,7917,5227,289,734,,,2100
2009,47302,35845,8655,5624,309,896,,,2802
2010,48101,36305,8794,5637,267,949,,,3002
2011,50491,39557,9419,5844,206,1165,,,1515
2012,49532,39545,7750,5215,121,836,,,2237
2013,45292,36089,8128,5490,81,822,,,1075
2014,43088,34869,6254,5069,98,909,178.0,252.0,1713
2015,40847,32181,6211,4934,101,829,347.0,426.0,2029
2016,39245,30892,6087,4981,71,707,328.0,562.0,1704
2017,36044,28161,5637,4696,49,623,269.0,610.0,1636
2018,33796,26433,5243,4446,52,517,228.0,655.0,1465
2019,30304,23821,4679,3999,34,466,180.0,452.0,1352
2020,25350,19933,3709,3193,39,328,149.0,388.0,1320
2021,22904,18335,3188,2745,40,246,157.0,353.0,1028
2022,20383,16264,2910,2526,25,195,164.0,338.0,871
2023,19540,15640,2595,2168,33,233,161.0,553.0,752
2024,17944,14412,2256,1832,32,171,221.0,554.0,722
