시도,,성별,계,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80,미상
전국,결핵환자,계,"17,944",4,6,18,104,229,402,475,474,621,706,"1,190","1,391","1,790","1,882","1,812","1,936","4,904",
,,,(35.2),(0.3),(0.3),(0.8),(4.5),(8.4),(12.0),(13.9),(15.1),(15.8),(18.4),(26.8),(33.1),(42.8),(53.7),(78.0),(111.4),(205.1),
,,남,"11,210",1,5,8,57,120,214,278,280,363,437,835,"1,019","1,348","1,392","1,250","1,219","2,384",
,,,-44.1,(0.1),(0.5),(0.7),(4.8),(8.5),(12.2),(15.4),(17.3),(18.1),(22.5),(37.2),(48.4),(64.9),(81.7),(114.4),(157.0),(285.6),
,,여,"6,734",3,1,10,47,109,188,197,194,258,269,355,372,442,490,562,717,"2,520",
,,,(26.3),(0.5),(0.1),(0.9),(4.2),(8.4),(11.8),(12.1),(12.7),(13.3),(14.2),(16.2),(17.7),(21.0),(27.2),(45.6),(74.6),(161.9),
,신환자,계,"14,412",4,6,17,98,207,357,407,400,498,557,918,"1,059","1,393","1,440","1,424","1,567","4,060",
,,,(28.2),(0.3),(0.3),(0.7),(4.3),(7.6),(10.7),(11.9),(12.7),(12.6),(14.5),(20.7),(25.2),(33.3),(41.1),(61.3),(90.2),(169.8),
,,남,"8,690",1,5,8,56,106,193,241,235,292,347,631,764,"1,035","1,028",937,943,"1,868",
,,,(34.2),(0.1),(0.5),(0.7),(4.7),(7.5),(11.0),(13.4),(14.5),(14.6),(17.9),(28.1),(36.3),(49.9),(60.4),(85.8),(121.5),(223.8),
,,여,"5,722",3,1,9,42,101,164,166,165,206,210,287,295,358,412,487,624,"2,192",
,,,(22.3),(0.5),(0.1),(0.8),(3.8),(7.7),(10.3),(10.2),(10.8),(10.6),(11.1),(13.1),(14.1),(17.0),(22.9),(39.5),(64.9),(140.9),
서울,결핵환자,계,"3,012",1,0,4,17,41,86,77,102,107,133,231,266,330,368,296,288,665,
,,,(32.4),(0.5),0.0,(1.1),(4.6),(7.6),(10.9),(9.8),(15.9),(14.9),(19.8),(29.8),(38.2),(47.8),(59.8),(69.8),(88.1),(169.0),
,,남,"1,991",0,0,1,9,21,39,40,58,66,79,181,195,258,272,207,186,379,
,,,(44.4),0.0,0.0,(0.6),(4.7),(8.3),(10.4),(10.2),(18.1),(18.6),(23.9),(47.4),(57.3),(78.0),(94.8),(106.5),(128.1),(248.3),
,,여,"1,021",1,0,3,8,20,47,37,44,41,54,50,71,72,96,89,102,286,
,,,(21.3),(1.0),0.0,(1.7),(4.4),(7.0),(11.4),(9.5),(13.6),(11.4),(15.8),(12.7),(19.9),(20.0),(29.2),(38.8),(56.1),(118.8),
,신환자,계,"2,383",1,0,4,16,37,78,63,89,80,104,179,191,253,284,226,226,552,
,,,(25.7),(0.5),0.0,(1.1),(4.3),(6.8),(9.9),(8.0),(13.8),(11.2),(15.5),(23.1),(27.4),(36.6),(46.1),(53.3),(69.1),(140.3),
,,남,"1,515",0,0,1,9,18,35,34,50,48,62,140,135,192,209,150,135,297,
,,,(33.8),0.0,0.0,(0.6),(4.7),(7.1),(9.4),(8.6),(15.6),(13.5),(18.7),(36.6),(39.7),(58.0),(72.8),(77.2),(93.0),(194.6),
,,여,868,1,0,3,7,19,43,29,39,32,42,39,56,61,75,76,91,255,
,,,(18.1),(1.0),0.0,(1.7),(3.8),(6.6),(10.4),(7.4),(12.1),(8.9),(12.3),(9.9),(15.7),(16.9),(22.8),(33.1),(50.0),(105.9),
부산,결핵환자,계,"1,141",1,1,0,14,11,21,33,29,32,50,59,82,113,152,139,151,253,
,,,(34.9),(1.4),(0.9),0.0,(10.9),(6.6),(10.5),(16.2),(15.7),(13.2),(21.6),(21.8),(30.9),(39.2),(56.4),(72.9),(110.0),(154.7),
,,남,720,0,1,0,8,5,11,20,12,19,35,32,60,76,124,86,102,129,
,,,(45.3),0.0,(1.7),0.0,(12.2),(5.8),(10.7),(18.9),(12.7),(15.5),(30.0),(23.9),(46.9),(55.7),(98.5),(98.5),(168.3),(218.2),
,,여,421,1,0,0,6,6,10,13,17,13,15,27,22,37,28,53,49,124,
,,,(25.1),(2.8),0.0,0.0,(9.6),(7.3),(10.3),(13.3),(18.8),(10.8),(13.1),(19.8),(16.0),(24.3),(19.5),(51.3),(63.9),(118.8),
,신환자,계,904,1,1,0,14,10,19,29,23,27,39,45,64,90,112,110,117,203,
