시도,환자유형,총_환자수,발생률,남성_환자수,여성_환자수,남성_비율,중장년_환자수_40_64세,중장년_비율,고령_환자수_65세이상,고령_비율
경기,결핵환자,4073,0.0,2620,1453,64.32604959489319,1503,36.90154677142156,2069,50.79793763810459
서울,결핵환자,3012,0.0,1991,1021,66.10225763612218,1067,35.42496679946879,1617,53.68525896414342
경북,결핵환자,1403,0.0,772,631,55.02494654312188,309,22.024233784746972,1013,72.2024233784747
부산,결핵환자,1141,0.0,720,421,63.10254163014899,336,29.447852760736197,695,60.91148115687993
경남,결핵환자,1087,0.0,678,409,62.37350505979761,378,34.77460901563937,619,56.945722171113154
전남,결핵환자,1007,0.0,598,409,59.384309831181724,228,22.641509433962266,719,71.40019860973187
인천,결핵환자,950,0.0,585,365,61.578947368421055,324,34.10526315789474,508,53.473684210526315
대구,결핵환자,899,0.0,514,385,57.17463848720801,247,27.474972191323694,572,63.62625139043382
충남,결핵환자,873,0.0,544,329,62.31386025200458,250,28.636884306987398,554,63.45933562428407
전북,결핵환자,731,0.0,466,265,63.748290013679885,194,26.538987688098498,497,67.9890560875513
강원,결핵환자,728,0.0,418,310,57.417582417582416,180,24.725274725274726,516,70.87912087912088
충북,결핵환자,605,0.0,398,207,65.78512396694215,185,30.57851239669421,363,60.0
광주,결핵환자,404,0.0,256,148,63.366336633663366,116,28.71287128712871,241,59.65346534653465
대전,결핵환자,369,0.0,230,139,62.33062330623306,121,32.79132791327913,219,59.34959349593496
울산,결핵환자,366,0.0,226,140,61.74863387978142,131,35.79234972677596,198,54.09836065573771
제주,결핵환자,238,0.0,155,83,65.12605042016807,110,46.21848739495798,101,42.436974789915965
세종,결핵환자,58,0.0,39,19,67.24137931034483,19,32.758620689655174,33,56.896551724137936
경기,신환자,3205,0.0,2008,1197,62.65210608424338,1172,36.56786271450858,1598,49.85959438377535
서울,신환자,2383,0.0,1515,868,63.57532522031053,807,33.86487620646244,1288,54.04951741502308
경북,신환자,1143,0.0,597,546,52.23097112860893,236,20.64741907261592,835,73.05336832895888
부산,신환자,904,0.0,548,356,60.61946902654868,265,29.314159292035395,542,59.95575221238938
경남,신환자,867,0.0,529,338,61.014994232987306,290,33.44867358708189,498,57.43944636678201
전남,신환자,818,0.0,471,347,57.57946210268948,185,22.6161369193154,582,71.14914425427872
인천,신환자,787,0.0,470,317,59.720457433290974,257,32.65565438373571,425,54.00254129606099
대구,신환자,767,0.0,424,343,55.28031290743155,202,26.336375488917863,490,63.88526727509778
충남,신환자,702,0.0,416,286,59.25925925925925,195,27.77777777777778,451,64.24501424501425
전북,신환자,608,0.0,376,232,61.8421052631579,152,25.0,419,68.91447368421053
강원,신환자,577,0.0,318,259,55.11265164644714,134,23.223570190641247,412,71.40381282495667
충북,신환자,489,0.0,309,180,63.190184049079754,146,29.85685071574642,291,59.50920245398773
광주,신환자,332,0.0,204,128,61.44578313253012,91,27.40963855421687,201,60.54216867469879
대전,신환자,299,0.0,182,117,60.86956521739131,91,30.434782608695656,183,61.20401337792642
울산,신환자,297,0.0,173,124,58.24915824915825,101,34.00673400673401,165,55.55555555555556
제주,신환자,195,0.0,124,71,63.589743589743584,89,45.64102564102564,88,45.12820512820513
세종,신환자,39,0.0,26,13,66.66666666666666,12,30.76923076923077,23,58.97435897435898
