시·도,시･군･구,결핵환자,신환자
전국,합계,"17,923","14,412"
서울,계,"3,012","2,383"
,강남구,92,77
,강동구,149,116
,강북구,135,107
,강서구,175,143
,관악구,220,175
,광진구,114,90
,구로구,202,157
,금천구,126,106
,노원구,136,113
,도봉구,95,74
,동대문구,148,118
,동작구,114,86
,마포구,93,75
,서대문구,80,57
,서초구,66,45
,성동구,67,57
,성북구,135,103
,송파구,142,113
,양천구,144,113
,영등포구,145,113
,용산구,57,43
,은평구,118,95
,종로구,64,54
,중구,51,40
,중랑구,144,113
부산,계,"1,141",904
,강서구,36,29
,금정구,91,75
,기장군,51,34
,남구,78,64
,동구,46,39
,동래구,83,68
,부산진구,111,91
,북구,92,75
,사상구,93,71
,사하구,111,92
,서구,37,28
,수영구,52,40
,연제구,69,55
,영도구,47,35
,중구,22,16
,해운대구,122,92
대구,계,878,767
,군위군,21,19
,남구,74,59
,달서구,195,178
,달성군,92,79
,동구,138,109
,북구,132,116
,서구,100,79
,수성구,106,93
,중구,41,35
인천,계,950,787
,강화군,41,36
,계양구,94,80
,남동구,142,112
,동구,27,23
,미추홀구,170,148
,부평구,166,123
,서구,167,147
,연수구,88,78
,옹진군,11,8
,중구,44,32
광주,계,404,332
,광산구,74,58
,남구,83,68
,동구,37,31
,북구,134,108
,서구,76,67
대전,계,369,299
,대덕구,59,50
,동구,67,56
,서구,101,81
,유성구,64,53
,중구,78,59
울산,계,366,297
,남구,99,79
,동구,53,45
,북구,48,40
,울주군,83,69
,중구,83,64
세종,세종특별자치시,58,39
경기,계,"4,073","3,205"
,가평군,33,28
,고양시,252,193
,고양시 덕양구,131,102
,고양시 일산동구,66,52
,고양시 일산서구,55,39
,과천시,20,15
,광명시,83,62
,광주시,107,88
,구리시,44,33
,군포시,71,57
,김포시,154,137
,남양주시,227,174
,동두천시,29,24
,부천시,315,242
,성남시,273,211
,성남시 분당구,82,60
,성남시 수정구,107,81
,성남시 중원구,84,70
,수원시,312,242
,수원시 권선구,116,93
,수원시 영통구,49,39
,수원시 장안구,75,58
,수원시 팔달구,72,52
,시흥시,180,144
,안산시,261,204
,안산시 단원구,133,106
,안산시 상록구,128,98
,안성시,105,81
,안양시,165,132
,안양시 동안구,76,61
,안양시 만안구,89,71
,양주시,76,60
,양평군,57,41
,여주시,63,53
,연천군,17,16
,오산시,89,77
,용인시,222,179
,용인시 기흥구,84,68
,용인시 수지구,60,49
,용인시 처인구,78,62
,의왕시,27,23
,의정부시,156,112
,이천시,67,59
,파주시,130,101
,평택시,168,128
,포천시,85,64
,하남시,73,55
,화성시,212,170
강원,계,728,577
,강릉시,104,84
,고성군,24,22
,동해시,58,44
,삼척시,60,49
,속초시,31,24
,양구군,7,5
,양양군,17,13
,영월군,36,27
,원주시,117,93
,인제군,12,11
,정선군,45,36
,철원군,12,11
,춘천시,75,64
,태백시,33,23
,평창군,24,18
,홍천군,32,26
,화천군,14,6
,횡성군,27,21
충북,계,605,489
,괴산군,20,18
,단양군,22,18
,보은군,18,14
,영동군,24,19
,옥천군,17,14
,음성군,52,38
,제천시,77,61
,증평군,18,14
,진천군,37,33
,청주시,238,193
,청주시 상당구,59,48
,청주시 서원구,47,37
,청주시 청원구,55,44
,청주시 흥덕구,77,64
,충주시,82,67
충남,계,873,702
,계룡시,12,6
,공주시,40,34
,금산군,26,22
,논산시,65,55
,당진시,72,61
,보령시,59,43
,부여군,42,32
,서산시,66,52
,서천군,29,23
,아산시,114,92
,예산군,36,31
,천안시,197,162
,천안시 동남구,89,70
,천안시 서북구,108,92
,청양군,21,14
,태안군,44,33
,홍성군,50,42
전북,계,731,608
,고창군,38,33
,군산시,73,60
,김제시,57,50
,남원시,32,28
,무주군,19,17
,부안군,43,31
,순창군,17,15
,완주군,33,28
,익산시,119,103
,임실군,27,23
,장수군,10,9
,전주시,168,130
,전주시 덕진구,75,53
,전주시 완산구,93,77
,정읍시,83,72
,진안군,12,9
전남,계,"1,007",818
,강진군,22,17
,고흥군,44,36
,곡성군,29,26
,광양시,43,35
,구례군,13,12
,나주시,57,49
,담양군,24,19
,목포시,111,83
,무안군,77,61
,보성군,22,18
,순천시,78,67
,신안군,51,42
,여수시,94,70
,영광군,23,18
,영암군,45,38
,완도군,40,29
,장성군,27,23
,장흥군,45,42
,진도군,28,22
,함평군,27,26
,해남군,64,52
,화순군,43,33
경북,계,"1,403","1,143"
,경산시,114,91
,경주시,113,89
,고령군,23,18
,구미시,105,90
,김천시,68,59
,문경시,46,39
,봉화군,29,25
,상주시,68,56
,성주군,28,23
,안동시,84,64
,영덕군,46,35
,영양군,28,22
,영주시,38,30
,영천시,99,80
,예천군,25,17
,울릉군,3,2
,울진군,27,23
,의성군,63,53
,청도군,33,29
,청송군,33,24
,칠곡군,56,51
,포항시,274,223
,포항시 남구,116,95
,포항시 북구,158,128
경남,계,1087,867
,거제시,52,34
,거창군,35,27
,고성군,28,21
,김해시,160,124
,남해군,18,15
,밀양시,49,43
,사천시,41,34
,산청군,20,17
,양산시,100,75
,의령군,18,13
,진주시,101,86
,창녕군,37,26
,창원시,264,217
,창원시 마산합포구,64,49
,창원시 마산회원구,60,51
,창원시 성산구,44,36
,창원시 의창구,62,57
,창원시 진해구,34,24
,통영시,46,35
,하동군,26,24
,함안군,42,36
,함양군,18,13
,합천군,32,27
제주,계,238,195
,서귀포시,73,57
,제주시,165,138
